Dupe 1,Dupe 2
400530,400914
400529,400913
400527,400912
400526,400911
400525,400910
400524,400909
400522,400908
400769,400907
400520,400906
400519,400905
400518,400904
400517,400903
400514,400902
400512,400901
400510,400900
400508,400898
400507,400896
400768,400895
400505,400894
400504,400893
400503,400892
400502,400888
400501,400887
400499,400885
400498,400884
400496,400881
400495,400880
400494,400877
400493,400875
400492,400873
400767,400872
400489,400871
400488,400868
400486,400867
399829,400864
400485,400863
400483,400862
400481,400861
400480,400860
400478,400859
400477,400858
400475,400857
400474,400856
400473,400855
400472,400853
400470,400852
400469,400851
400468,400850
400766,400849
400465,400846
400464,400845
400463,400843
400462,400842
400461,400841
400460,400839
400459,400838
400457,400836
400456,400834
400455,400833
400454,400830
400453,400829
400452,400826
400451,400825
400764,400824
400449,400823
400447,400821
400446,400820
400445,400819
400444,400818
400442,400817
400441,400816
400440,400812
400439,400811
400438,400810
400436,400809
400435,400808
400434,400807
400433,400806
400430,400802
400429,400801
400428,400800
400427,400799
400425,400798
396778,400797
400420,400794
400419,400793
400418,400792
397577,400757
398908,400658
399959,400577
399946,400521
398801,400487
400335,400337
400297,400334
400295,400333
400294,400332
400293,400330
400291,400329
400290,400327
400289,400326
400288,400325
400287,400324
400286,400323
400285,400322
400284,400321
400283,400320
400281,400319
400300,400318
400299,400317
400279,400316
400278,400315
400277,400314
400276,400313
400275,400312
400273,400311
400272,400310
400271,400309
400268,400308
395883,400307
400265,400306
400263,400304
400262,400303
394784,400282
400241,400250
400240,400249
400239,400248
400238,400247
400237,400246
400236,400245
400235,400244
400234,400243
400233,400242
400215,400230
400213,400227
400212,400226
400211,400225
400209,400223
400208,400221
400206,400219
400205,400218
400204,400217
400182,400202
400181,400201
400178,400200
400175,400199
400174,400198
400173,400197
400172,400196
400170,400195
400169,400194
400168,400193
400167,400192
400165,400191
400164,400190
400162,400189
400160,400188
400159,400187
400155,400185
400154,400184
397051,400156
400134,400145
400133,400144
400132,400142
400131,400141
400130,400140
400128,400138
400127,400137
400126,400136
400112,400123
400111,400121
400110,400120
400109,400119
400106,400118
400105,400117
400104,400116
400103,400115
400101,400113
400092,400096
400093,400095
400089,400094
400065,400087
400064,400086
400063,400085
400062,400084
400060,400083
400059,400080
400058,400079
400057,400078
400055,400077
400054,400076
400053,400075
400052,400073
400051,400072
400050,400071
400049,400070
400048,400069
400047,400068
400043,400067
400042,400066
400033,400038
400032,400037
398644,400036
400031,400035
400030,400034
399988,400029
399981,400027
399969,400026
399954,400025
399940,400023
399929,400022
399014,400020
399910,400019
399909,400018
399908,400017
399906,400016
399905,400015
399904,400014
399915,400012
399903,400011
399902,400010
399901,400009
399900,400008
399899,400007
399898,400006
399897,400005
399895,400004
399893,400003
399892,400001
399891,400000
399889,399999
399888,399998
399887,399997
399886,399996
399885,399995
399884,399994
399883,399993
399882,399992
399881,399991
399880,399990
399879,399989
399878,399987
399877,399986
399876,399985
399875,399984
399874,399983
399873,399982
399869,399980
399866,399979
399864,399977
